x,y,type,region,byName,byCode,enName,enCode,ruName,ruCode,byClassicName,byClassicCode,enClassicName,enClassicCode,byLatinName,byLatinCode
7,10,district,Менская,Капыльскі,КПЛ,Kapyl,KPL,Копыльский,КПЛ,Капыльскі,КПЛ,Kapyl,KPL,Kapylski,KPL
7,11,district,Менская,Клецкі,КЛЦ,Kletsk,KLT,Клецкий,КЛЦ,Клецкі,КЛЦ,Klyetsak,KLT,Klecki,KLC
10,7,district,Менская,Крупскі,КРП,Krupki,KRP,Крупский,КРП,Крупскі,КРП,Krupki,KRP,Krupski,KRP
8,7,district,Менская,Лагойскі,ЛГС,Lahoysk,LHS,Логойский,ЛГС,Лагойскі,ЛГС,Lahoysk,LHS,Łahojski,ŁHS
9,11,district,Менская,Любанскі,ЛБН,Lyuban,LBN,Любанский,ЛБН,Любанскі,ЛБН,Lyuban,LBN,Lubański,LBŃ
7,7,district,Менская,Маладзечанскі,МЛД,Maladzyechna,MLD,Молодечненский,МЛД,Маладэчанскі,МЛД,Maladechna,MLD,Maładečanski,MŁD
8,8,district,Менская,Мінскі,МНС,Minsk,MNS,Минский,МНС,Менскі,МНС,Myensk,MNS,Mienski,MNS
6,6,district,Менская,Мядзельскі,МДЗ,Myadzyel,MDZ,Мядельский,МДЛ,Мядзельскі,МДЗ,Myadzyel,MDZ,Miadziełski,MDZ
6,10,district,Менская,Нясвіжскі,НСВ,Nyasvizh,NSV,Несвижский,НСВ,Нясьвіскі,НСВ,Nyasvizh,NSV,Niaśviski,NŚV
8,9,district,Менская,Пухавіцкі,ПХВ,Pukhavichy,PKH,Пуховичский,ПХВ,Пухавіцкі,ПХВ,Pukhavichy,PKH,Puchavicki,PCH
8,11,district,Менская,Салігорскі,СЛГ,Salihorsk,SLH,Солигорский,СЛГ,Салігорскі,СЛГ,Salihorsk,SLH,Salihorski,SLH
8,10,district,Менская,Слуцкі,СЛЦ,Slutsk,SLT,Слуцкий,СЛЦ,Слуцкі,СЛЦ,Slutsak,SLT,Słucki,SŁC
9,8,district,Менская,Смалявіцкі,СМЛ,Smalyavichy,SML,Смолевичский,СМЛ,Смалявіцкі,СМЛ,Smalyavichy,SML,Smalavicki,SML
9,10,district,Менская,Старадарожскі,СТД,Staryya Darohi,STD,Стародорожский,СТД,Старадароскі,СТД,Staryya Darohi,STD,Staradaroski,STD
6,9,district,Менская,Стаўбцоўскі,СТБ,Stowbtsy,STB,Столбцовский,СТБ,Стаўпецкі,СТП,Stowptsy,STP,Staŭpecki,STP
7,9,district,Менская,Уздзенскі,УЗД,Uzda,UZD,Узденский,УЗД,Узьдзенскі,УЗД,Uzda,UZD,Uzdzienski,UZD
9,9,district,Менская,Чэрвеньскі,ЧРВ,Chervyen,CRV,Червенский,ЧРВ,Ігуменскі,ІГМ,Ihumyen,IHM,Ihumienski,IHM
1,1,city,Гарадзенская,Гродна,гГРО,Hrodna,cHRO,Гродно,гГРО,Горадня,мГОР,Horadnya,cHOR,Horadnia,mHOR
4,1,city,Віцебская,Наваполацк,гНВП,Navapolatsk,cNVP,Новополоцк,гНВП,Наваполацак,мНВП,Navapolatsak,cNVP,Navapołacak,mNVP
5,1,city,Віцебская,Віцебск,гВЦБ,Vitsebsk,cVTS,Витебск,гВТБ,Віцебск,мВЦБ,Vitsebsk,cVTS,Viciebsk,mVCB
2,2,city,Берасьцейская,Баранавічы,гБРН,Baranavichy,cBRN,Барановичи,гБРН,Баранавічы,мБРН,Baranavichy,cBRN,Baranavičy,mBRN
3,2,city,Менск,Мінск,гМНС,Minsk,cMNS,Минск,гМНС,Менск,мМНС,Myensk,cMNS,Miensk,mMNS
4,2,city,Менская,Жодзіна,гЖДЗ,Zhodzina,cZHD,Жодино,гЖДН,Жодзін,мЖДЗ,Zhodzina,cZHD,Žodzin,mŽDZ
5,2,city,Магілёўская,Магілёў,гМГЛ,Mahilyow,cMHL,Могилев,гМГЛ,Магілёў,мМГЛ,Mahilyow,cMHL,Mahiloŭ,mMHL
1,3,city,Берасьцейская,Брэст,гБРС,Brest,cBRS,Брест,гБРС,Берасьце,мБРС,Byerastse,cBRS,Bieraście,mBRŚ
2,3,city,Берасьцейская,Пінск,гПНС,Pinsk,cPNS,Пинск,гПНС,Пінск,мПНС,Pinsk,cPNS,Pinsk,mPNS
4,3,city,Магілёўская,Бабруйск,гББР,Babruysk,cBBR,Бобруйск,гББР,Бабруйск,мББР,Babruysk,cBBR,Babrujsk,mBBR
5,3,city,Гомельская,Гомель,гГМЛ,Homyel,cHML,Гомель,гГМЛ,Гомель,мГМЛ,Homyel,cHML,Homiel,mHML
